"acousticness" "duration" "energy" "liveness" "loudness" "tempo"
"111" 0.00597 417200 0.509 0.108 -8.057 127.013
"112" 0.0626 168667 0.72 0.0744 -11.97 103.507
"113" 0.0688 187115 0.798 0.598 -8.085 97.771
"114" 0.964 175600 0.392 0.243 -12.023 105.88
"115" 0.482 323400 0.32 0.111 -15.761 131.131
"116" 0.206 244240 0.654 0.0641 -12.652 134.055
"117" 0.0799 267227 0.782 0.0985 -5.968 141.942
"118" 0.0836 238627 0.512 0.103 -7.6 89.296
"119" 0.842 277600 0.0767 0.108 -16.251 120.823
"120" 0.00109 308667 0.896 0.197 -5.299 177.727
"121" 0.231 253667 0.297 0.115 -9.903 130.182
"122" 0.0315 264133 0.848 0.193 -4.519 118.221
"123" 0.166 298667 0.5 0.0708 -8.194 134.211
"124" 0.992 36667 0.262 0.112 -21.228 125.377
"125" 0.421 219768 0.412 0.0659 -13.378 135.559
"126" 0.0279 115800 0.738 0.0697 -13.983 112.325
"127" 0.00254 129196 0.741 0.151 -5.043 140.024
"128" 0.368 207360 0.828 0.147 -7.212 121.361
"129" 0.249 156213 0.599 0.0923 -8.548 183.04
"130" 0.0158 274267 0.488 0.27 -11.451 130.179
"131" 0.941 837093 0.212 0.0305 -17.686 118.272
"132" 0.773 129387 0.0851 0.11 -21.219 142.289
"133" 0.969 190587 0.101 0.123 -16.703 68.478
"134" 0.163 205190 0.741 0.0869 -5.83 120.36
"135" 0.00013 258120 0.913 0.0477 -4.028 98.005
"136" 0.743 448640 0.462 0.256 -9.072 118.371
"137" 0.988 203010 0.482 0.338 -16.303 133.388
"138" 0.274 221267 0.642 0.0717 -4.925 85.565
"139" 0.307 304187 0.836 0.491 -6.052 121.147
"140" 0.629 179720 0.47 0.0791 -9.629 116.338
"141" 0.865 248047 0.18 0.259 -19.833 79.287
"142" 0.995 134467 0.0526 0.0993 -18.966 75.288
"143" 0.947 403133 0.119 0.313 -17.285 75.615
"144" 0.903 198973 0.315 0.107 -9.071 129.623
"145" 0.0648 398027 0.349 0.055 -13.452 131.189
"146" 0.727 377907 0.421 0.33 -8.112 92.545
"147" 0.00702 526013 0.805 0.118 -5.211 164.952
"148" 0.829 159280 0.0697 0.131 -17.784 110.773
"149" 0.0145 204013 0.847 0.436 -4.734 99.058
"150" 0.923 169560 0.211 0.117 -15.603 130.071
"151" 0.943 164000 0.245 0.118 -12.101 95.249
"152" 0.745 278560 0.53 0.213 -9.905 105.706
"153" 0.99 167293 0.0787 0.149 -13.021 101.322
"154" 0.193 241933 0.539 0.12 -13.105 91.996
"155" 0.862 194173 0.413 0.57 -8.187 96.055
"156" 0.0311 236640 0.359 0.103 -12.006 75.733
"157" 0.867 343907 0.118 0.0824 -17.033 82.221
"158" 0.0883 328987 0.642 0.131 -9.38 92.419
"159" 0.972 177200 0.195 0.245 -11.368 81.493
"160" 0.642 257240 0.682 0.314 -6.358 172.255
"161" 0.612 146307 0.467 0.151 -14.261 78.283
"162" 0.887 466440 0.307 0.118 -15.181 102.523
"163" 0.849 148133 0.627 0.087 -12.798 148.355
"164" 0.0534 245293 0.63 0.0948 -6.915 180.022
"165" 0.559 190733 0.527 0.107 -12.564 90.619
"166" 0.996 168413 0.0541 0.147 -30.169 77.224
"167" 0.995 196209 0.0974 0.219 -12.264 67.572
"168" 0.971 168813 0.161 0.263 -19.424 130.357
"169" 0.995 181185 0.215 0.489 -14.39 112.88
"170" 0.21 188120 0.208 0.105 -15.235 115.872
"171" 0.114 170693 0.661 0.465 -4.786 138.135
"172" 0.483 389493 0.358 0.0808 -11.451 120.758
"173" 0.503 336573 0.69 0.962 -8.06 103.94
"174" 0.609 214147 0.225 0.0891 -12.744 132.296
"175" 0.92 547120 0.11 0.0996 -16.18 124.126
"176" 0.969 543653 0.0156 0.0803 -25.729 73.662
"177" 0.919 106440 0.139 0.237 -15.205 94.629
"178" 0.0803 276840 0.694 0.898 -7.497 102.412
"179" 0.865 98827 0.784 0.155 -9.757 104.746
"180" 0.994 162213 0.325 0.11 -11.005 120.563
"181" 0.221 246400 0.432 0.203 -9.699 95.251
"182" 0.00363 241693 0.575 0.347 -7.83 159.99
"183" 0.44 214905 0.555 0.165 -6.804 90.002
"184" 0.00249 211187 0.932 0.211 -4.454 140.996
"185" 0.996 88893 0.00843 0.118 -30.115 72.44
"186" 0.982 184000 0.0124 0.183 -28.765 74.89
"187" 5.21e-06 227627 0.85 0.245 -4.245 143.962
"188" 0.386 188480 0.498 0.104 -8.865 143.775
"189" 0.677 251667 0.433 0.164 -12.798 109.864
"190" 0.132 451493 0.647 0.984 -11.448 131.412
"191" 0.307 418560 0.54 0.363 -11.856 130.693
"192" 0.277 227987 0.573 0.111 -5.951 93.71
"193" 0.244 154858 0.968 0.121 -4.517 79.989
"194" 0.0896 223641 0.946 0.363 -4.785 175.777
"195" 0.0248 279133 0.804 0.48 -3.865 91.938
"196" 0.739 192500 0.268 0.0718 -15.199 119.879
"197" 0.575 207427 0.187 0.0396 -17.26 117.075
"198" 0.988 1172067 0.0894 0.101 -20.953 86.005
"199" 0.995 152612 0.187 0.182 -18.939 79.89
"200" 0.0658 215693 0.539 0.192 -12.217 122.532
"201" 0.651 124107 0.361 0.0842 -16.461 140.226
"202" 0.455 185067 0.533 0.103 -9.988 114.175
"203" 0.406 189333 0.858 0.331 -8.339 92.393
"204" 0.0489 204093 0.621 0.294 -7.364 191.9
"205" 0.00168 323333 0.659 0.0513 -10.635 90.519
"206" 0.409 286400 0.722 0.104 -13.825 115.722
"207" 0.547 134493 0.667 0.131 -5.194 113.92
"208" 0.741 415493 0.32 0.685 -16.698 98.936
"209" 0.8 182200 0.234 0.178 -12.524 73.433
"210" 0.995 90860 0.255 0.422 -13.234 169.99
"211" 0.918 166975 0.519 0.156 -16.17 102.037
"212" 0.0404 268960 0.657 0.14 -6.722 111.115
"213" 0.993 177467 0.307 0.206 -13.796 113.786
"214" 0.00138 283467 0.952 0.381 -4.499 155.973
"215" 0.917 154107 0.259 0.0582 -11.539 77.095
"216" 0.0925 130000 0.263 0.106 -18.374 82.616
"217" 0.000213 249080 0.974 0.111 -4.662 184.559
